index,train,test,new_developers
fold,5.500,5.500,5.500
auc,0.940,0.860,0.783
accuracy,0.856,0.895,0.535
cost_effectiveness,1.000,0.993,0.945
precision_m,0.983,0.959,0.922
recall_m,0.855,0.924,0.416
f1_score_m,0.914,0.941,0.529
precision_a,0.414,0.420,0.371
recall_a,0.869,0.585,0.852
f1_score_a,0.557,0.481,0.496
