index,train,test
fold,5.500,5.500
auc,0.937,0.856
accuracy,0.853,0.892
cost_effectiveness,1.000,0.992
precision_m,0.983,0.959
recall_m,0.851,0.921
f1_score_m,0.912,0.939
precision_a,0.405,0.408
recall_a,0.866,0.580
f1_score_a,0.549,0.470
