index,train,test
fold,5.500,5.500
auc,1.000,0.677
accuracy,1.000,0.917
cost_effectiveness,1.000,0.967
precision_m,1.000,0.918
recall_m,1.000,0.998
f1_score_m,1.000,0.957
precision_a,0.999,0.492
recall_a,1.000,0.018
f1_score_a,1.000,0.035
