index,train,test
fold,5.500,5.500
auc,1.000,0.664
accuracy,1.000,0.852
cost_effectiveness,1.000,0.932
precision_m,1.000,0.855
recall_m,1.000,0.995
f1_score_m,1.000,0.920
precision_a,1.000,0.460
recall_a,1.000,0.021
f1_score_a,1.000,0.041
