index,train,test,new_developers
fold,5.500,5.500,5.500
auc,0.970,0.847,0.789
accuracy,0.917,0.864,0.606
cost_effectiveness,1.000,0.990,0.911
precision_m,0.988,0.953,0.899
recall_m,0.918,0.889,0.522
f1_score_m,0.952,0.920,0.649
precision_a,0.565,0.421,0.364
recall_a,0.904,0.624,0.789
f1_score_a,0.692,0.498,0.494
