index,train,test
fold,5.500,5.500
auc,1.000,0.711
accuracy,1.000,0.890
cost_effectiveness,1.000,0.969
precision_m,1.000,0.892
recall_m,1.000,0.998
f1_score_m,1.000,0.942
precision_a,1.000,0.420
recall_a,1.000,0.017
f1_score_a,1.000,0.032
