index,train,test
fold,5.500,5.500
auc,0.926,0.840
accuracy,0.879,0.865
cost_effectiveness,0.997,0.975
precision_m,0.951,0.929
recall_m,0.901,0.910
f1_score_m,0.925,0.920
precision_a,0.622,0.540
recall_a,0.777,0.603
f1_score_a,0.690,0.569
